qid,name,personal_interest,completed,ignore
Q168615,1080° Snowboarding,0,0,1
Q56120553,7 Billion Humans,0,0,0
Q14753828,7 Days to Die,0,0,1
Q20899382,ABZÛ,0,0,0
Q109274215,Aeon's End,0,0,1
Q4697670,AirMech,0,0,1
Q104529092,Alba: A Wildlife Adventure,0,0,0
Q22986,Amnesia: The Dark Descent,0,0,0
Q489583,And Yet It Moves,0,0,0
Q44462,Animal Crossing: New Leaf,0,0,0
Q16267613,Anodyne,0,0,0
Q4769943,Anomaly Korea,0,0,0
Q2067185,Anomaly Warzone Earth,0,0,0
Q4774596,Antichamber,0,0,0
Q20031747,ARK: Survival Evolved,0,1,0
Q120717463,ARK: Survival Of The Fittest,0,0,1
Q16927602,Armello,0,0,0
Q200864,Assassin's Creed,0,1,0
Q677351,Assassin's Creed Brotherhood,0,0,0
Q211735,Assassin's Creed II,0,0,0
Q739654,Assassin's Creed Revelations,0,0,0
Q40166,Assassin's Creed® III,0,0,0
Q86994484,Astrox Imperium,1,0,0
Q758900,Audiosurf,0,0,0
Q613511,Back to the Future: Ep 1 - It's About Time,0,0,1
Q4034780,Back to the Future: Ep 2 - Get Tannen!,0,0,1
Q4034779,Back to the Future: Ep 3 - Citizen Brown,0,0,1
Q4034782,Back to the Future: Ep 4 - Double Visions,0,0,1
Q4034783,Back to the Future: Ep 5 - OUTATIME,0,0,1
Q64441774,Baldur's Gate 3,1,0,0
Q810662,Bastion,0,0,0
Q746228,Batman: Arkham Asylum GOTY Edition,0,0,0
Q288811,Batman: Arkham City GOTY,0,0,0
Q20189954,Battleborn,0,0,1
Q2892925,Beat Hazard,0,0,0
Q71732131,Beatbuddy: Tale of the Guardians,0,0,0
Q124063501,Big Thinkers 1st Grade,0,0,1
Q73917012,Big Thinkers Kindergarten,0,0,1
Q2074746,BioShock Infinite,0,0,0
Q2904848,BIT.TRIP BEAT,0,0,0
Q4918670,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0,0,0
Q2904853,BIT.TRIP RUNNER,0,0,0
Q211229,Black Mesa,0,0,0
Q76761865,Blazing Beaks,0,0,0
Q2462284,Blood Bowl: Legendary Edition,0,0,0
Q65555252,Bloons TD 6,0,0,0
Q47486997,Bomber Crew,0,0,0
Q893422,Borderlands 2,0,1,0
Q893423,Borderlands GOTY,0,1,0
Q62714274,Borderlands GOTY Enhanced,0,1,0
Q16466659,Borderlands: The Pre-Sequel,0,0,0
Q897376,Braid,0,0,0
Q71729150,Breath of Death VII ,0,0,0
Q68198904,Breathedge,0,0,0
Q4973485,Broken Sword 1 - Shadow of the Templars: Director's Cut (2009),0,0,0
Q74250080,Burly Men at Sea,0,0,0
Q17157041,Captain Toad: Treasure Tracker,1,0,0
Q110682579,Carcassonne: The Official Board Game,0,0,1
Q1051853,Cave Story+,0,0,0
Q507828,Chrono Trigger,0,0,0
Q3205367,Cities in Motion 2,0,0,1
Q119952213,Cities XL Platinum,0,0,1
Q2981867,Cogs,0,0,0
Q500851,Company of Heroes ,0,0,0
Q500851,Company of Heroes - Legacy Edition,0,0,0
Q923500,Company of Heroes: Opposing Fronts,0,0,0
Q2446562,Company of Heroes: Tales of Valor,0,0,0
Q2067220,Confrontation,0,0,0
Q1139201,Crayon Physics Deluxe,0,0,0
Q16259371,Crypt of the NecroDancer,0,0,0
