qid,playtime_minutes
Q44462,0
Q18536859,0
Q642526,0
Q30897883,0
Q20856979,0
Q30302563,0
Q558621,0
Q50276798,0
Q50276847,0
Q50276547,0
Q50276557,0
Q46049528,0
Q46373684,0
Q130720338,0
Q18762399,0
Q123254896,0
Q121037531,0
Q121037544,0
Q11300470,0
Q3072790,0
Q168615,0
Q54297,0
Q55217,0
Q216995,0
Q1132456,0
Q301555,0
Q507828,0
Q2045645,0
Q1765733,0
Q2089035,0
Q639955,0
Q861205,0
Q170489,0
Q854487,0
Q13427106,0
Q17157041,0
Q1506526,0
Q14900378,0
Q23008476,0
Q1050298,0
Q2539933,0
Q1987193,0
Q917588,0
Q99543224,0
Q846051,0
