appid,qid,qid_override,hltb_override,metacritic_override
1523,,Q122705280,,
4540,,Q324871,,
4580,,Q1330808,,warhammer-40-000-dawn-of-war-dark-crusade
8340,Q135449100,Q135448928,,
20920,Q100984696,Q917272,,
21110,,Q775655,,
31220,,Q66823427,,
31230,,Q107424266,,
31240,,Q107424267,,
31250,,Q107424269,,
31260,,Q107424270,,
33220,Q135453795,Q907508,,
43160,,Q569898,,
94500,,Q4034780,,
94510,,Q4034779,,
94520,,Q4034782,,
94530,,Q4034783,,
214770,Q130720697,Q15725934,,
263440,,Q17154142,,
288370,Q107424311,Q7623793,,
321040,,Q906070,,
346940,Q113679925,Q18928722,,
397080,,-1,,
404730,,Q1633410,,
860950,Q130755528,Q3294300,,
1151640,Q116771326,Q20155528,,
