qid,appid,name,favorability,critic_score,protonDB_rating,personal_interest,completion,favorability_weighted,critic_score_weighted,protonDB_rating_weighted,personal_interest_weighted,completion_weighted,final_score
Q279744,70,Half-Life,0.9641773969702586,1,1.0,1,0.044949136503430326,0.4097753937123599,0.325,-1,0.15,0.004494913650343033,0.889270307362703
Q193581,220,Half-Life 2,0.9754927107616691,1,1.0,1,0.22848601323937648,0.41458440207370933,0.325,-1,0.15,0.02284860132393765,0.912433003397647
Q1325680,320,Half-Life 2: Deathmatch,0.9031403843844278,1,1.0,1,0.0,0.3838346633633818,0.325,-1,0.15,0.0,0.8588346633633818
Q55354219,360,Half-Life Deathmatch: Source,0.743639707274973,1,1.0,1,0.0,0.3160468755918635,0.325,-1,0.15,0.0,0.7910468755918635
Q274897,400,Portal,0.9846976185027404,1,1.0,1,0.6412698412698413,0.41849648786366467,0.325,-1,0.15,0.06412698412698413,0.9576234719906489
Q382108,440,Team Fortress 2,0.9089224810565403,1,1.0,1,0.004086694287083227,0.3862920544490296,0.325,-1,0.15,0.0004086694287083227,0.8617007238777379
Q279446,620,Portal 2,0.9867177503700605,1,1.0,1,1.0,0.4193550439072757,0.325,-1,0.15,0.1,0.9943550439072757
Q210552,1500,Darwinia,0.7785903599707718,1,1.0,1,0.0,0.33090090298757796,0.325,-1,0.15,0.0,0.805900902987578
Q1703254,1510,Uplink,0.8959796056972907,1,0.9,1,0.0,0.38079133242134855,0.325,-1,0.15,0.0,0.7702121991792137
Q978362,1520,DEFCON,0.8639496244778021,1,0.75,1,0.0,0.3671785904030659,0.325,-1,0.15,0.0,0.6316339428022995
,1523,DEFCON Beta Demo,0.0,1,0.0,1,0.0,0.0,0.325,-1,0.15,0.0,0.0
Q2656289,1530,Multiwinia,0.7851376372794464,1,1.0,1,0.0,0.3336834958437647,0.325,-1,0.15,0.0,0.8086834958437648
Q1755927,2600,Vampire: The Masquerade - Bloodlines,0.941004254767227,1,1.0,1,0.023253110103476336,0.39992680827607147,0.325,-1,0.15,0.002325311010347634,0.8772521192864191
Q2270204,2800,X2: The Threat,0.7948609006505806,1,1.0,1,0.0,0.3378158827764967,0.325,-1,0.15,0.0,0.8128158827764967
Q666156,2810,X3: Reunion,0.6860676476301363,1,0.9,1,0.0114778979320812,0.29157875024280794,0.325,-1,0.15,0.00114778979320812,0.6909538860324145
Q1321049,2820,X3: Terran Conflict,0.8407066315284425,1,0.9,1,0.0,0.35730031839958803,0.325,-1,0.15,0.0,0.7490702865596293
Q1190522,2840,X: Beyond the Frontier,0.7033846827459371,1,0.9,1,0.002288748512313467,0.2989384901670233,0.325,-1,0.15,0.0002288748512313467,0.6967506285164292
Q4053285,2850,X-Tension,0.6988179784559733,1,0.9,1,0.0,0.29699764084378866,0.325,-1,0.15,0.0,0.6947978767594097
Q1277009,3830,Psychonauts,0.9462627553422284,1,0.9,1,0.0,0.40216167102044703,0.325,-1,0.15,0.0,0.7894455039184024
Q837923,4000,Garry's Mod,0.9682889087563863,1,0.9,1,0.0,0.41152278622146415,0.325,-1,0.15,0.0,0.7978705075993178
,4540,Titan Quest,0.8434179322496592,1,1.0,1,0.0,0.35845262120610516,0.325,-1,0.15,0.0,0.8334526212061052
Q500851,4560,Company of Heroes - Legacy Edition,0.9274402585860595,1,0.9,1,0.0,0.3941621098990753,0.325,-1,0.15,0.0,0.7822458989091677
Q1061708,4570,"Warhammer 40,000: Dawn of War - Anniversary Edition ",0.942066246078078,1,1.0,1,0.0,0.40037815458318315,0.325,-1,0.15,0.0,0.8753781545831832
,4580,"Warhammer 40,000: Dawn of War - Dark Crusade",0.9590136758191293,1,0.9,1,0.0,0.40758081222313,0.325,-1,0.15,0.0,0.7943227310008171
Q2575966,4920,Natural Selection 2,0.8446249272922384,1,1.0,1,0.0,0.3589655940992013,0.325,-1,0.15,0.0,0.8339655940992013
Q55295,6020,STAR WARS™ Jedi Knight: Jedi Academy™,0.956672789308016,1,0.9,1,0.03807850029291154,0.4065859354559068,0.325,-1,0.15,0.003807850029291154,0.7968544069366783
Q55298,6030,STAR WARS™ Jedi Knight II: Jedi Outcast™,0.9028365290793166,1,1.0,1,0.0,0.3837055248587095,0.325,-1,0.15,0.0,0.8587055248587095
Q4049368,6120,Shank,0.8936228768974442,1,1.0,1,0.0,0.3797897226814138,0.325,-1,0.15,0.0,0.8547897226814138
Q644793,6910,Deus Ex: Game of the Year Edition,0.9444805702572783,1,1.0,1,0.543945199117613,0.40140424235934324,0.325,-1,0.15,0.0543945199117613,0.9307987622711046
Q795360,6980,Thief: Deadly Shadows,0.7932075001414277,1,1.0,1,0.0,0.3371131875601068,0.325,-1,0.15,0.0,0.8121131875601068
Q665785,7000,Tomb Raider: Legend,0.8658214187939243,1,1.0,1,0.0,0.3679741029874178,0.325,-1,0.15,0.0,0.8429741029874178
Q2631793,7610,Railroad Tycoon 3,0.7516705495509718,1,1.0,1,0.0,0.319459983559163,0.325,-1,0.15,0.0,0.794459983559163
Q580667,8000,Tomb Raider: Anniversary,0.8070503440128376,1,1.0,1,0.025219298245614037,0.34299639620545597,0.325,-1,0.15,0.002521929824561404,0.8205183260300175
Q915860,8140,Tomb Raider: Underworld,0.7544975254098222,1,0.9,1,0.0,0.3206614482991744,0.325,-1,0.15,0.0,0.7160953034692571
Q1114167,8190,Just Cause 2,0.9031996502201177,1,0.9,1,0.0,0.38385985134355,0.325,-1,0.15,0.0,0.7729738662091951
Q135449100,8340,Strong Bad Episode 1: Homestar Ruiner,0.9044645705856753,1,0.9,1,0.0,0.384397442498912,0.325,-1,0.15,0.0,0.7734576982490209
Q135448929,8350,Strong Bad Episode 2: Strong Badia the Free,0.7712040772176841,1,1.0,1,0.0,0.32776173281751575,0.325,-1,0.15,0.0,0.8027617328175157
Q135448930,8360,Strong Bad Episode 3: Baddest of the Bands,0.6803916324485767,1,1.0,1,0.0,0.2891664437906451,0.325,-1,0.15,0.0,0.7641664437906451
Q135448931,8370,Strong Bad Episode 4: Dangeresque 3,0.7283255295714138,1,0.9,1,0.0,0.30953835006785085,0.325,-1,0.15,0.0,0.7060845150610658
Q135448932,8380,Strong Bad Episode 5: 8-Bit Is Enough,0.7177558259368491,1,0.9,1,0.0,0.30504622602316084,0.325,-1,0.15,0.0,0.7020416034208448
Q2074746,8870,BioShock Infinite,0.9335206158570218,1,1.0,1,1.0,0.3967462617392343,0.325,-1,0.15,0.1,0.9717462617392343
Q2388343,8880,Freedom Force,0.5270666136263232,1,1.0,1,0.0,0.22400331079118738,0.325,-1,0.15,0.0,0.6990033107911874
Q2440,8890,Freedom Force vs. the 3rd Reich,0.8154011724008583,1,0.75,1,0.0,0.3465454982703648,0.325,-1,0.15,0.0,0.6161591237027736
Q2385,8930,Sid Meier's Civilization V,0.9550343112834124,1,0.9,1,0.14516172470442487,0.40588958229545025,0.325,-1,0.15,0.014516172470442488,0.8058651792893035
Q893423,8980,Borderlands GOTY,0.893885625412175,1,0.9,1,1.0,0.3799013908001744,0.325,-1,0.15,0.1,0.859411251720157
Q1154938,9310,"Warhammer 40,000: Dawn of War - Winter Assault",0.866680465588388,1,1.0,1,0.0,0.36833919787506486,0.325,-1,0.15,0.0,0.843339197875065
Q923500,9340,Company of Heroes: Opposing Fronts,0.9013147735649658,1,1.0,1,0.0,0.38305877876511046,0.325,-1,0.15,0.0,0.8580587787651105
