qid,name,favorability,critic_score,protonDB_rating,personal_interest,completion,favorability_weighted,critic_score_weighted,protonDB_rating_weighted,personal_interest_weighted,completion_weighted,final_score
Q279744,Half-Life,0.9641835538198053,0.96,1.0,1,0.044949136503430326,0.3856734215279221,0.2592,n/a,0.2,0.005843387745445942,0.850716809273368
Q193581,Half-Life 2,0.9754826426954344,0.96,1.0,1,0.22848601323937648,0.39019305707817376,0.2592,n/a,0.2,0.029703181721118944,0.8790962387992928
Q1325680,Half-Life 2: Deathmatch,0.9030857868164986,0.0,1.0,1,0.0,0.3612343147265995,0.0,n/a,0.2,0.0,0.5612343147265995
Q55354219,Half-Life Deathmatch: Source,0.7437790195778312,0.0,1.0,1,0.0,0.2975116078311325,0.0,n/a,0.2,0.0,0.4975116078311325
Q274897,Portal,0.9847006018531471,0.9,1.0,1,0.6412698412698413,0.3938802407412589,0.24300000000000002,n/a,0.2,0.08336507936507938,0.9202453201063384
Q382108,Team Fortress 2,0.9089697183972422,0.92,1.0,1,0.004086694287083227,0.3635878873588969,0.24840000000000004,n/a,0.2,0.0005312702573208195,0.8125191576162178
Q279446,Portal 2,0.9867182913579438,0.95,1.0,1,1.0,0.3946873165431775,0.2565,n/a,0.2,0.13,0.9811873165431776
Q210552,Darwinia,0.7785903599707718,0.84,1.0,1,0.0,0.3114361439883087,0.2268,n/a,0.2,0.0,0.7382361439883087
Q1703254,Uplink,0.8960223168944252,0.75,0.9,1,0.0,0.35840892675777014,0.2025,n/a,0.2,0.0,0.6848180340819933
Q978362,DEFCON,0.8639496244778021,0.84,0.75,1,0.0,0.3455798497911209,0.2268,n/a,0.2,0.0,0.5792848873433407
Q122705280,DEFCON Beta Demo,0.0,0.0,0.0,1,0.0,0.0,0.0,n/a,0.2,0.0,0.0
Q2656289,Multiwinia,0.7851376372794464,0.76,1.0,1,0.0,0.3140550549117786,0.20520000000000002,n/a,0.2,0.0,0.7192550549117787
Q1755927,Vampire: The Masquerade - Bloodlines,0.9410003776082336,0.8,1.0,1,0.023253110103476336,0.3764001510432935,0.21600000000000003,n/a,0.2,0.0030229043134519236,0.7954230553567453
Q2270204,X2: The Threat,0.7944763308700993,0.72,1.0,1,0.0,0.3177905323480397,0.19440000000000002,n/a,0.2,0.0,0.7121905323480398
Q666156,X3: Reunion,0.6850746127634127,0.71,0.9,1,0.0114778979320812,0.2740298451053651,0.1917,n/a,0.2,0.001492126731170556,0.6004997746528821
