qid,name,favorability,critic_score,protonDB_rating,personal_interest,completion,favorability_weighted,critic_score_weighted,protonDB_rating_weighted,personal_interest_weighted,completion_weighted,final_score
Q279744,Half-Life,0.9641817161463647,0.96,1.0,0,0.044949136503430326,0.3856726864585459,0.2592,n/a,0.0,0.005843387745445942,0
Q193581,Half-Life 2,0.9754823494091316,0.96,1.0,0,0.22848601323937648,0.39019293976365266,0.2592,n/a,0.0,0.029703181721118944,0
Q1325680,Half-Life 2: Deathmatch,0.9030985172943083,0,1.0,0,0.0,0.3612394069177234,0.0,n/a,0.0,0.0,0
Q55354219,Half-Life Deathmatch: Source,0.7439643434869349,0,1.0,0,0.0,0.29758573739477395,0.0,n/a,0.0,0.0,0
Q274897,Portal,0.9846983615081557,0.9,1.0,0,0.6412698412698413,0.3938793446032623,0.24300000000000002,n/a,0.0,0.08336507936507938,0
Q382108,Team Fortress 2,0.9089929879917282,0.92,1.0,0,0.004086694287083227,0.3635971951966913,0.24840000000000004,n/a,0.0,0.0005312702573208195,0
Q279446,Portal 2,0.9867193004044779,0.95,1.0,0,1,0.39468772016179116,0.2565,n/a,0.0,0.13,0
Q210552,Darwinia,0.7785903599707718,0.84,1.0,0,0.0,0.3114361439883087,0.2268,n/a,0.0,0.0,0.5382361439883088
Q1703254,Uplink,0.8960223168944252,0.75,0.9,0,0.0,0.35840892675777014,0.2025,n/a,0.0,0.0,0.5048180340819931
Q978362,DEFCON,0.8639496244778021,0.84,0.75,0,0.0,0.3455798497911209,0.2268,n/a,0.0,0.0,0.4292848873433407
Q122705280,DEFCON Beta Demo,0,0,0.0,0,0,0.0,0.0,n/a,0.0,0.0,0
Q2656289,Multiwinia,0.7851376372794464,0.76,1.0,0,0.0,0.3140550549117786,0.20520000000000002,n/a,0.0,0.0,0.5192550549117786
Q1755927,Vampire: The Masquerade - Bloodlines,0.9410158831874526,0.8,1.0,0,0.023253110103476336,0.37640635327498106,0.21600000000000003,n/a,0.0,0.0030229043134519236,0.5954292575884329
Q2270204,X2: The Threat,0.7944763308700993,0.72,1.0,0,0.0,0.3177905323480397,0.19440000000000002,n/a,0.0,0.0,0.5121905323480398
Q666156,X3: Reunion,0.6854951007132656,0.71,0.9,0,0.011285207983585153,0.27419804028530625,0.1917,n/a,0.0,0.0014670770378660699,0.4206286055908551
Q1321049,X3: Terran Conflict,0.8411249267012725,0.73,0.9,0,0.0,0.336449970680509,0.1971,n/a,0.0,0.0,0.4801949736124581
Q1190522,X: Beyond the Frontier,0.7033846827459371,0.67,0.9,0,0.0017066011331831523,0.28135387309837484,0.18090000000000003,n/a,0.0,0.0002218581473138098,0.4162281581211198
Q4053285,X-Tension,0.6988179784559733,0,0.9,0,0.0,0.2795271913823893,0.0,n/a,0.0,0.0,0.25157447224415036
Q1277009,Psychonauts,0.946236790990348,0.88,0.9,0,0.0,0.3784947163961392,0.2376,n/a,0.0,0.0,0.5544852447565253
Q837923,Garry's Mod,0.9683019115998959,0,0.9,0,0.0,0.38732076463995835,0.0,n/a,0.0,0.0,0
Q324871,Titan Quest,0.8434179322496592,0.77,1.0,0,0.0,0.33736717289986373,0.20790000000000003,n/a,0.0,0.0,0.5452671728998637
Q500851,Company of Heroes - Legacy Edition,0.9274602328483881,0.93,0.9,0,0.0,0.37098409313935526,0.25110000000000005,n/a,0.0,0.0,0.5598756838254197
Q1061708,"Warhammer 40,000: Dawn of War - Anniversary Edition ",0.9421004038705301,0.86,1.0,0,0.0,0.37684016154821204,0.23220000000000002,n/a,0.0,0.0,0
Q1330808,"Warhammer 40,000: Dawn of War - Dark Crusade",0.9589111994451858,0.87,0.9,0,0.0,0.38356447977807434,0.23490000000000003,n/a,0.0,0.0,0
